user,repID,date_joined,last_login,cohort,MA.GoodatMath,MA.ImportantDoWell,MA.NaturallyBetter,MA.EffortImportant,MA.UnderstandQuickly,MA.ThinkCarefully,MA.PlugInNum,MA.PatternsOverCalc,MA.ExcitingIntimidating,SA.ChairParts,SA.SpatialRel,SA.Diagrams,howmanymath,mathposthigh,ratereading,gender,FathEd,MothEd,class,Ethnic,engfirst,A.Figure,A.Rotate,A.Letters,A.Vocab,PM.Arith,PM.XY,PM.Theta,PM.TTSinCos,PM.TTSides,PM.CTSinCos,PM.TrigRs,SM.XY,SM.Theta,SM.TTSinCos,SM.CTSinCos
525,71911,10/20/2016 4:21,10/20/2016 4:21,Fall16,5,5,3,4,5,5,5,3,3,5,4,4,4,5,3,2,3,2,2,4,0,70,80,-0.547327726,0.499256782,90.6,0,100,100,100,11.1,25,20,100,100,33.3
528,71575,10/20/2016 16:57,10/20/2016 16:57,Fall16,2,7,7,3,6,6,3,4,1,5,5,5,4,3,5,2,6,5,5,1,1,70,80,1.135360045,1.038068469,90.6,70,25,33.3,100,66.7,50,70,100,100,77.8
529,71239,10/20/2016 18:31,10/26/2016 20:14,Fall16,6,6,6,5,5,6,5,5,6,6,6,5,4,4,5,2,6,5,5,7,1,65,95,0.413110499,0.321448925,87.5,70,58.3,100,100,0,25,100,100,100,66.7
530,71815,10/20/2016 18:46,10/20/2016 18:46,Fall16,6,5,7,5,4,6,6,6,5,6,5,5,4,1,3,2,2,1,4,3,1,55,80,-1.984143311,-1.472793991,100,60,25,0,0,0,33.3,60,50,0,0
534,50965,10/21/2016 0:48,10/21/2016 0:48,Fall16,5,5,6,5,5,7,3,5,2,4,7,7,4,3,4,2,1,1,2,4,0,65,80,0.413110499,0.143641069,84.4,40,25,0,66.7,0,25,40,91.7,0,0
535,72148,10/21/2016 3:49,10/21/2016 3:50,Fall16,4,6,6,3,4,6,3,4,5,5,4,7,5,3,5,2,3,3,2,4,0,65,70,0.655140932,-0.395170618,87.5,30,33.3,100,66.7,0,50,50,100,100,33.3
536,71308,10/21/2016 4:07,1/10/2017 4:34,Fall16,6,6,6,7,4,6,2,5,6,6,6,7,3,4,3,2,2,3,3,3,0,90,75,0.655140932,1.038068469,96.9,90,91.7,100,100,0,16.7,100,100,100,66.7
537,71236,10/21/2016 4:19,10/21/2016 4:19,Fall16,1,6,6,6,4,6,7,1,1,2,1,2,3,3,1,2,2,5,3,4,0,65,100,1.135360045,1.221264442,96.9,70,25,33.3,100,44.4,58.3,70,100,66.7,66.7
538,71701,10/21/2016 5:09,10/22/2016 5:12,Fall16,4,5,7,2,6,7,5,5,2,6,6,6,3,3,3,2,2,2,4,3,1,50,65,-0.305297293,-1.655989965,34.4,0,25,0,100,0,8.3,10,100,0,0
539,72022,10/21/2016 19:15,10/21/2016 19:15,Fall16,3,4,5,4,4,5,5,4,2,6,5,4,4,2,4,2,3,5,4,1,1,50,60,1.135360045,1.221264442,81.2,20,33.3,0,66.7,0,25,70,100,0,0
540,71158,10/21/2016 22:22,10/21/2016 22:22,Fall16,5,4,5,3,6,6,6,5,2,5,5,3,4,3,4,2,3,2,5,3,1,85,85,0.897171365,1.576880155,96.9,80,25,100,100,0,25,60,100,100,0
541,71428,10/21/2016 22:26,10/21/2016 22:26,Fall16,2,3,5,4,3,5,5,3,3,6,6,6,3,3,5,2,3,4,1,3,1,70,60,-0.06326686,1.576880155,68.8,0,25,0,100,0,41.7,30,91.7,0,44.4
542,71290,10/22/2016 0:37,10/22/2016 0:37,Fall16,5,2,7,3,2,7,2,2,1,6,5,4,4,1,5,2,3,4,4,1,1,65,90,0.897171365,1.576880155,96.9,100,25,33.3,100,11.1,16.7,80,91.7,100,11.1
543,71533,10/22/2016 21:38,10/22/2016 21:38,Spr18,5 Somewhat agree,5 Somewhat agree,6 Agree,3 Somewhat disagree,3 Somewhat disagree,4 Neither agree nor disagree,6 Agree,4 Neither agree nor disagree,4 Neither agree nor disagree,6 Agree,5 Somewhat agree,5 Somewhat agree,4,2,3 Comparable/Average,2 Female,3 Some college (1 yr.  - less than 2 yrs.),3 Some college (1 yr.  - less than 2 yrs.),5 Upper-middle class,4 Asian or Asian American,0 No,60,80,-1.023705086,-0.756174448,96.9,90,33.3,100,100,11.1,33.3,90,100,100,0
544,72244,10/23/2016 17:51,10/23/2016 17:51,Fall16,7,5,2,2,6,6,7,7,5,5,5,7,3,4,3,1,3,2,4,4,1,75,90,1.135360045,-0.217362761,93.8,80,25,100,100,100,58.3,90,100,100,77.8
545,66247,10/23/2016 21:11,10/28/2016 22:32,Fall16,5,4,4,5,5,5,5,5,3,5,5,5,4,3,4,2,3,5,5,6,1,55,55,0.174921819,0.321448925,65.6,60,25,33.3,0,0,33.3,30,83.3,0,0
547,71704,10/23/2016 21:58,10/23/2016 21:58,Fall16,4,5,7,4,6,6,4,5,4,6,5,4,5,4,4,1,1,2,4,4,0,65,80,1.135360045,0.860260612,81.2,40,41.7,0,100,0,41.7,80,100,0,11.1
548,72205,10/24/2016 2:02,10/24/2016 2:02,Fall16,5,6,5,7,5,7,5,6,3,6,5,4,3,3,5,2,3,3,3,3,1,65,30,0.897171365,0.860260612,100,20,41.7,0,66.7,0,16.7,80,66.7,0,0
549,71764,10/24/2016 19:18,10/24/2016 19:18,Fall16,4,5,7,4,6,6,2,5,4,5,5,6,3,2,3,2,4,5,2,4,0,75,70,0.413110499,-0.756174448,84.4,60,66.7,0,100,22.2,41.7,60,83.3,0,11.1
550,71449,10/24/2016 21:49,10/24/2016 21:49,Fall16,3,7,6,3,6,6,3,3,3,3,5,6,3,1,4,2,7,7,1,4,1,50,60,-1.023705086,-1.117178278,65.6,0,25,0,33.3,0,41.7,0,91.7,0,0
552,71491,10/24/2016 23:42,10/24/2016 23:42,Fall16,6,7,7,2,7,7,3,2,7,6,4,4,3,1,3,2,2,1,3,3,1,55,45,-1.507765951,-0.756174448,43.8,0,25,0,0,0,33.3,20,83.3,0,0
553,72298,10/25/2016 0:15,10/25/2016 0:15,Fall16,2,4,6,6,6,5,5,5,5,6,5,7,3,1,3,2,2,2,1,4,1,75,35,-1.984143311,-1.472793991,81.2,0,41.7,0,66.7,0,41.7,0,25,0,0
554,71899,10/25/2016 2:24,10/25/2016 2:24,Fall16,5,5,4,4,5,5,3,5,4,6,6,6,4,1,4,1,7,1,2,3,0,45,80,-0.305297293,0.321448925,9.4,50,25,0,66.7,0,58.3,40,100,0,0
557,66370,10/25/2016 23:22,10/25/2016 23:22,Fall16,2,1,3,2,5,7,7,3,1,5,4,7,2,2,5,2,3,5,3,4,1,45,85,-1.745954631,-0.395170618,81.2,60,25,0,100,0,33.3,70,75,0,0
558,71761,10/26/2016 1:02,12/27/2016 20:50,Fall16,5,5,7,2,6,6,3,5,5,5,5,5,3,5,3,1,3,1,1,7,1,55,90,0.655140932,1.221264442,90.6,10,25,0,100,0,41.7,90,100,0,0
560,72280,10/26/2016 5:04,10/26/2016 7:06,Fall16,2,2,6,5,6,6,5,6,2,5,5,5,2,5,5,2,2,2,3,4,0,70,70,0.655140932,1.760076129,87.5,40,25,100,100,22.2,25,60,100,100,11.1
562,60544,10/26/2016 19:37,10/27/2016 16:07,Fall16,5,5,6,6,2,7,6,2,2,3,4,5,3,2,4,2,7,2,4,3,0,75,70,1.135360045,1.221264442,87.5,70,83.3,100,100,0,41.7,60,75,100,0
563,71914,10/26/2016 21:39,10/26/2016 21:42,Fall16,5,6,6,3,4,6,5,7,4,5,3,6,4,1,5,2,2,6,4,4,1,95,95,0.413110499,1.399072299,93.8,60,100,100,100,0,33.3,90,100,100,0
564,71692,10/26/2016 23:46,10/26/2016 23:46,Fall16,6,5,6,5,6,4,4,5,3,6,6,6,3,3,2,2,6,5,3,4,0,85,75,1.135360045,-0.217362761,100,90,100,100,100,33.3,50,60,100,100,33.3
566,68149,10/27/2016 6:10,10/27/2016 6:10,Fall16,6,6,2,6,6,6,6,6,6,6,6,6,5,5,3,1,7,7,4,4,0,70,80,-0.547327726,-0.578366591,100,10,100,66.7,66.7,0,41.7,20,100,66.7,0
567,71959,10/27/2016 15:24,10/27/2016 15:24,Fall16,6,6,6,5,6,6,3,5,6,5,5,5,5,3,3,1,5,5,4,4,0,50,90,1.135360045,0.143641069,100,70,41.7,0,100,11.1,16.7,60,100,100,11.1
572,71431,10/27/2016 23:12,10/27/2016 23:12,Fall16,6,6,6,5,3,6,6,5,3,3,3,6,3,3,3,2,5,1,3,3,0,60,60,-0.547327726,-0.756174448,43.8,0,33.3,0,100,0,33.3,10,91.7,0,0
574,71221,10/28/2016 5:32,10/28/2016 5:32,Fall16,1,3,4,1,6,6,7,1,4,7,5,7,2,1,5,2,1,1,3,4,0,80,85,0.897171365,-0.578366591,84.4,60,100,0,0,0,33.3,80,100,0,0
575,72193,10/28/2016 5:43,10/28/2016 5:43,Fall16,5,6,6,6,6,7,5,5,3,5,4,6,3,3,3,2,1,2,2,3,0,45,95,0.897171365,-1.833797822,84.4,0,33.3,0,66.7,0,50,50,75,0,0
577,69166,10/28/2016 19:34,10/28/2016 19:34,Fall16,1,6,7,1,7,6,5,6,1,3,6,6,4,4,4,2,3,3,3,4,1,55,55,-1.023705086,-0.217362761,78.1,40,66.7,0,100,0,8.3,50,91.7,0,0
579,71296,10/28/2016 22:32,10/28/2016 22:32,Fall16,6,6,6,2,2,6,2,7,6,6,6,7,5,5,3,1,6,5,5,4,0,90,100,0.897171365,0.860260612,96.9,50,25,0,100,66.7,100,90,100,0,66.7
583,71293,10/28/2016 23:44,10/28/2016 23:44,Fall16,6,7,7,7,7,7,6,6,6,6,5,7,4,2,4,1,5,5,2,4,0,40,65,0.174921819,-1.472793991,81.2,50,25,0,66.7,0,25,70,100,0,0
584,72253,10/28/2016 23:50,10/28/2016 23:50,Fall16,6,7,5,7,5,7,6,6,6,3,4,5,2,5,3,1,5,2,4,4,0,35,85,0.897171365,-1.472793991,87.5,70,100,100,100,66.7,41.7,80,100,100,100
587,71518,10/30/2016 4:41,10/30/2016 4:41,Fall16,4,7,7,4,5,6,3,4,5,3,2,7,5,1,4,1,1,2,5,3,0,55,55,-1.507765951,-1.117178278,90.6,0,33.3,0,0,0,33.3,0,100,0,0
