id_code,user,chairparts,spatialrel,diagrams,math1,math2,math3,math4,math5,math6,math7,math8,math9,math10,math11,math14,math15,math16,howmanymath,mathposthigh,ratereading,FathEd,MothEd,Income,class,gender,comfyspkreadeng,Ethnic
81469,#N/A,6,5,5,3,5,6,3,5,6,3,3,2,2,Algebra 2,"1, 2","Geometry 1996, Algebra 2 1997",[Decline to Answer],4,1,4,2,2,9,4,2,1,1
81472,2796,5,5,6,6,5,5,6,6,6,5,4,5,2,Statistics,"1, 2, 3, 4, 5",Statistics in 2018,[Decline to Answer],4,1,4,5,5,1,2,2,1,1
81475,#N/A,5,5,5,6,6,5,4,5,5,3,6,6,2,Statistics,"1, 2, 3, 4, 5",Statistics 2018,NA,4,5,5,6,5,13,5,2,1,1
81478,2723,7,4,7,4,7,7,4,6,7,6,5,3,2,none,6,[Decline to Answer],[Decline to Answer],5,1,3,3,3,4,4,2,1,1
81481,#N/A,5,2,6,4,6,6,6,2,7,5,6,2,2,Statistics,"1, 2, 3, 5",[Decline to Answer],N/a,4,1,3,3,3,8,4,1,1,1
81484,2775,7,6,6,6,6,5,4,5,6,6,5,5,1,Math 3A Analytic Geometry and Calculus I,6,[Decline to Answer],[Decline to Answer],5,5,3,6,6,3,4,2,1,4
81487,2721,6,5,6,6,5,4,6,3,6,2,4,4,2,trigonometry,"1, 2, 3",2009,[Decline to Answer],4,2,5,3,5,3,2,3,1,1
81490,#N/A,5,5,5,2,5,6,3,6,6,5,5,2,2,Precalculus,"1, 2, 3","algebra in 2014-2015, geometry 2015-2016, algebra 2 2016-2017, precalc 2017-2018",[Decline to Answer],4,1,5,2,4,11,4,2,1,4
81493,2793,6,5,6,5,5,4,4,3,6,3,6,5,2,"I passed AP Calc in high school, failed calc 280 in college","1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],5,2,5,6,2,13,5,2,1,1
81496,#N/A,5,3,6,2,2,6,4,3,6,1,5,1,2,Trigonometry,"1, 2, 3",2009,[Decline to Answer],3,1,5,5,5,12,5,2,1,1
81499,2852,4,6,2,3,4,6,4,6,6,4,4,4,2,N/A,"1, 2","Algebra in 2008, Geometry in 2009",[Decline to Answer],3,1,3,7,4,4,1,2,1,3
81502,2735,6,6,6,7,7,7,7,3,7,1,2,7,2,Abstract Algebra and Differential Geometry,"1, 2, 3, 4",1989 Undergrad- Math major,Abstract Algebra 1988-89,5,5,5,6,5,2,4,2,1,4
81505,2803,6,6,6,6,6,5,5,4,5,3,5,6,2,Matrices and Matrix Calculations 1989,"1, 2, 3, 4, 5, 6","Algebra 1981, Geometry 1982, Pre-Cal Trig 1984, Calc 1984, Statistics 1987",n/a,4,5,5,5,5,6,5,2,1,1
81511,#N/A,6,6,6,6,6,7,4,4,6,3,5,6,2,Pre-Calculus,"1, 2, 3, 5",[Decline to Answer],[Decline to Answer],4,4,5,2,3,8,2,2,1,3
81514,#N/A,6,4,7,5,5,5,4,4,5,5,4,4,1,Intro to STATS,"1, 2, 3",Algebra 2013 Geometry 2014 Pre-Calculus 2015,[Decline to Answer],3,1,3,7,2,14,2,2,1,3
81517,#N/A,6,6,6,6,4,5,2,5,5,5,3,4,2,calculus,"1, 2, 3, 4, 5","Calculus in 2017, statistics in 2017",n/a,5,3,2,5,5,9,4,2,0,4
